epoch,loss,lr,val_loss
0,0.015102341771125793,0.001,0.005797827150672674
1,0.013203870505094528,0.001,0.004228073637932539
2,0.014030737802386284,0.001,0.014009309001266956
3,0.015659458935260773,0.001,0.01364795584231615
4,0.01598593406379223,0.001,0.0052636717446148396
5,0.015598872676491737,0.001,0.0034176886547356844
6,0.012601002119481564,0.001,0.011871195398271084
7,0.014694785699248314,0.001,0.004826907534152269
8,0.015117962844669819,0.001,0.005041807424277067
9,0.010954486206173897,0.001,0.0023651777300983667
10,0.01363631896674633,0.001,0.007913998328149319
11,0.01616104133427143,0.001,0.004162020981311798
12,0.014338153414428234,0.001,0.006483231671154499
13,0.01439700648188591,0.001,0.0041276090778410435
14,0.01509278267621994,0.001,0.004295320715755224
15,0.013751856982707977,0.000100000005,0.002453769091516733
16,0.013838172890245914,0.000100000005,0.002778724068775773
17,0.013587609864771366,0.000100000005,0.0022864528000354767
18,0.01403477881103754,0.000100000005,0.003042912110686302
19,0.014794128015637398,0.000100000005,0.0030575657729059458
20,0.011112070642411709,1.0000001e-05,0.00295441085472703
21,0.01154271885752678,1.0000001e-05,0.0028124626260250807
22,0.011592810973525047,1.0000001e-05,0.0029054502956569195
23,0.012690679170191288,1.0000001e-05,0.002789586316794157
24,0.013190258294343948,1.0000001e-05,0.0027693980373442173
25,0.013259290717542171,1.0000001e-06,0.002777485642582178
26,0.013801251538097858,1.0000001e-06,0.0027832493651658297
27,0.01285626832395792,1.0000001e-06,0.0027665370143949986
